,ADMINLVL,AGRIC,BUSH_FOOD,CCODE2K4,DCODE_2K4,DRY,FID,FOOD_SEC,HEALTH,HEA_FUNCT,HHLD,IDP,KINDS_OF_F,NAME_WS,NO__OF_PRO,OID1,OID_,POLICE_STA,POP,P_CODE,P_CODE_1,P_CODE_12,QC_GEO_WS,RETURN_,SCHOOL,SCH_FUNCT,SIZE,STATUS,TRAV_TIME,WET,X_COORD,Y_COORD,OBJECTID,geometry,country_code,sdr_id,sdr_name,sdr_level
16,1, , ,30,3004, ,18, , , ,0.0, ,3.0,Monrovia,12.0,10,14,1.0,0.0,LR0500155,LR0500155,LR0500155,9, , , , ,Ongoing,0.0, ,-10.8,6.31,18,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.80472,6.3105600000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,74188,Monrovia,PPL
17,5, , ,30,3004, ,19, , , ,0.0, ,2.0,Paynesville,3.0,11,15,1.0,0.0,LR0500175,LR0500175,LR0500175,9, , , , ,Ongoing,0.0, ,-10.71,6.27,19,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.70908,6.26752],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,73912,Paynesville,PPL
18,5, , ,30,3004, ,20, , , ,0.0, ,1.0,Westpoint,1.0,12,16,1.0,0.0,LR0500224,LR0500224,LR0500224,9, , , , ,Ongoing,0.0, ,-10.81,6.33,20,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.80618,6.3271100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,0,,
19,2, , ,24,2406, ,21, , , ,0.0, ,3.0,Kakata,7.0,13,18,1.0,0.0,LR0600117,LR0600117,LR0600117,1, , , , ,Planned,0.0, ,-10.35,6.53,21,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.35167,6.5300000000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,6852,Kakata,ADM1
20,2, , ,6,604,Y,22, ,Y,Y,1000.0,S,3.0,Gbarnga,5.0,15,21,1.0,5000.0,LR0700187,LR0700187,LR0700187,1,P,Y,Y, ,Planned,0.0,Y,-9.47,7.0,22,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.4722199999999,6.9955600000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,0,,
21,2, , ,9,910,Y,23, ,Y,Y,7050.0,P,3.0,Buchanan,5.0,20,25,1.0,35250.0,LR0900184,LR0900184,LR0900184,1,S,Y,Y, ,Planned,0.0,Y,-10.05,5.88,23,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.04667,5.8808300000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,73183,Upper Buchanan,PPL
22,2, , ,36,3604,Y,24, ,Y,Y,200.0,S,3.0,Cestos City,4.0,21,26,1.0,1000.0,LR1000182,LR1000182,LR1000182,1,S,Y,Y, ,Planned,0.0,Y,-9.58,5.46,24,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.58278,5.4600000000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,0,,
23,2, , ,21,2118,Y,25, ,Y,N,3500.0,S,3.0,Voinjama,6.0,29,32,1.0,17500.0,LR9900002,LR9900002,LR9900002,1,S,Y,Y, ,Planned,0.0,Y,-9.75,8.42,25,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.7526099999999,8.4224800000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,7615,Voinjama,ADM1
24,7, , ,6,602,Y,26, ,N,N,5.0,A,1.0,Bong Town,1.0,14,20,1.0,25.0,LR0700063,LR0700063,LR0700063,3,S,N,N, ,Not Started,0.0,Y,-10.36,6.81,26,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.3558,6.80827],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,76324,Bong Town,PPL
25,2, , ,39,3906,Y,27, ,N,N,300.0,A,4.0,Greenville,12.0,22,27,1.0,1500.0,LR1100057,LR1100057,LR1100057,2,P,Y,Y, ,Ongoing,0.0,Y,-9.04,5.01,27,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.0388899999999,5.0111100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,5581,Greenville,ADM2
