,ADM0_NAME,ADM1_NAME,ADM2_NAME,CITY,COMMENTS,CONF_IMAGE,GLOBALID,IMGNAME,ISO3,NAME,SOURCE,SOURCE2,SOURCE2_DT,SOURCE_DT,SPA_ACC,TYPE,OBJECTID,country_code,sdr_id,sdr_name,sdr_level
49,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,e4329804-61f8-4c2b-b67d-b9c1cfec933d,51.jpeg,LBR,Emmanuel Temple Independent Church of God,Google,DigitalGlobe,September 2014,September 2014,1,Church,51,LR,5580,Greater Monrovia,ADM2
50,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,6d2b2901-9b4b-475e-8d39-4a7e08a43239,52.jpeg,LBR,Seven Day Adventist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,52,LR,5580,Greater Monrovia,ADM2
51,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,68090065-b14c-434e-a245-e9f800341655,53.jpeg,LBR,Farah Community Church,Wikimapia,DigitalGlobe,September 2014,September 2014,1,Church,53,LR,5580,Greater Monrovia,ADM2
52,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,96e94c6a-6206-47d4-bf41-cb64e37c850b,54.jpeg,LBR,Royal Family Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,54,LR,5580,Greater Monrovia,ADM2
53,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,138c106b-6e61-4331-9527-96160b9ad1ce,55.jpeg,LBR,St. Stephens Episcopal Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,55,LR,5580,Greater Monrovia,ADM2
54,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,d1f0f31d-70bd-4a50-abf2-270ee7ca044c,56.jpeg,LBR,AGM Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,56,LR,5580,Greater Monrovia,ADM2
55,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,e23ee1ea-d9da-45f9-a684-18c8483f73a6,57.jpeg,LBR,Agape Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,57,LR,5580,Greater Monrovia,ADM2
56,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,37d0675e-d449-4f4c-8362-ec6d2b30944e,58.jpeg,LBR,Trinity Berea Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,58,LR,5580,Greater Monrovia,ADM2
57,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,d8094f31-63fd-4984-b38f-92894e432b99,59.jpeg,LBR,International Church of Monrovia,Google,DigitalGlobe,September 2014,September 2014,1,Church,59,LR,5580,Greater Monrovia,ADM2
58,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,5cc1bd3d-f599-457f-9558-d86b4dc170f5,60.jpeg,LBR,Seventh Day Adventist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,60,LR,5580,Greater Monrovia,ADM2
59,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,1c75fc94-f112-42c5-9066-2bb4badcdf6d,61.jpeg,LBR,Keymahtown Island Community Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,61,LR,5580,Greater Monrovia,ADM2
60,Liberia,Montserrado,Greater Monrovia,Monrovia,Has a high school ,Assessed,6357ff57-6061-4958-bda2-3b856f921435,62.jpeg,LBR,United Pentecostal Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,62,LR,5580,Greater Monrovia,ADM2
61,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,c910f633-7a3a-494f-bff6-eacabc7066ea,63.jpeg,LBR,New Creation World Outreach Central Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,63,LR,5580,Greater Monrovia,ADM2
62,Liberia,Montserrado,Greater Monrovia,Monrovia,Baptist,Assessed,325928d3-69e9-45f8-90dc-5c9e35657e8c,64.jpeg,LBR,First Baptist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,64,LR,5580,Greater Monrovia,ADM2
63,Liberia,Montserrado,St. Paul River,Clay Ashland,Episcopal,Reported,a0cd8ac0-2a21-4818-9fef-1bd1f79d4fe2,65.jpeg,LBR,Grace Episcopal Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,65,LR,5625,St. Paul River,ADM2
64,Liberia,Montserrado,St. Paul River,Clay Ashland,Baptist Church,Assessed,2b2226f7-c872-4375-9d50-b741d771dfb9,66.jpeg,LBR,999999,Google,DigitalGlobe,September 2014,September 2014,1,Church,66,LR,5625,St. Paul River,ADM2
65,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,01f570ee-f58a-435f-aee6-0511571d0cee,67.jpeg,LBR,SDA Church Compound,Google,DigitalGlobe,September 2014,September 2014,1,Church,67,LR,5580,Greater Monrovia,ADM2
66,Liberia,Montserrado,St. Paul River,Clay Ashland,Methodist,Assessed,7a3cc954-c2c8-4ae6-9157-81ffcf340f19,68.jpeg,LBR,United Methodist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,68,LR,5625,St. Paul River,ADM2
67,Liberia,Montserrado,Greater Monrovia,Monrovia,Methodist,Assessed,2f8be2be-aa99-40ff-b53d-d0d1efbb4afd,69.jpeg,LBR,M F Bailey Memorial Methodist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,69,LR,5580,Greater Monrovia,ADM2
68,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,fef6c013-292c-4889-b374-c289843f6b60,70.jpeg,LBR,Smythe Road Church of Christ,Google,DigitalGlobe,September 2014,September 2014,1,Church,70,LR,5580,Greater Monrovia,ADM2
69,Liberia,Montserrado,Greater Monrovia,Monrovia,Pentecostal,Assessed,95b08a3a-09c4-4ff1-9923-4675fcac2fd2,71.jpeg,LBR,Free Pentecostal Global Missions Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,71,LR,5580,Greater Monrovia,ADM2
70,Liberia,Montserrado,Greater Monrovia,Caldwell,Catholic,Assessed,ba6836f1-13d5-4e3d-9fe5-1cd72aecfacb,72.jpeg,LBR,Holy Family Catholic Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,72,LR,5580,Greater Monrovia,ADM2
71,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,424c0d62-662c-4dc2-ac74-946271fa63ed,73.jpeg,LBR,Dominion Christian Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,73,LR,5580,Greater Monrovia,ADM2
72,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,55900a66-399f-4a0b-b956-e6de66d445e1,74.jpeg,LBR,Oluba Oluba Oboo Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,74,LR,5580,Greater Monrovia,ADM2
73,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,3a4ba01c-f4cf-4c9a-8102-3316a7bc9e0f,75.jpeg,LBR,Faith United Prayer Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,75,LR,5580,Greater Monrovia,ADM2
74,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,23e39167-b6ce-4c11-89b5-88004dd115bd,76.jpeg,LBR,Pendicoster Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,76,LR,5580,Greater Monrovia,ADM2
75,Liberia,Montserrado,Greater Monrovia,Monrovia,Baptist,Assessed,4cce6961-8a1c-46f9-8c8f-f7c661c0efac,77.jpeg,LBR,Mt. Nebo Baptist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,77,LR,5580,Greater Monrovia,ADM2
76,Liberia,Montserrado,Greater Monrovia,Monrovia,Lutheran,Assessed,7168cd03-9585-44aa-a845-7391906dc11c,78.jpeg,LBR,St. Phillips Lutheran Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,78,LR,5580,Greater Monrovia,ADM2
77,Liberia,Montserrado,Commonwealth,Monrovia,Methodist,Assessed,c5494e93-0e79-434e-8f67-175c051ba415,79.jpeg,LBR,Free Methodist World Mission Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,79,LR,5548,Commonwealth,ADM2
